IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
54.218.212.54,8080,80,false,ORD,North America,Chicago,224,0.00
35.94.182.16,443,80,false,ORD,North America,Chicago,210,0.00
35.92.241.74,8443,80,false,ORD,North America,Chicago,210,0.00
35.161.172.205,80,80,false,ORD,North America,Chicago,217,0.00
35.92.241.74,2053,80,false,ORD,North America,Chicago,211,0.00
35.93.4.236,80,80,false,ORD,North America,Chicago,211,0.00
54.218.212.54,2096,80,false,ORD,North America,Chicago,231,0.00
35.92.241.74,2087,80,false,ORD,North America,Chicago,211,0.00
54.218.212.54,2083,80,false,ORD,North America,Chicago,211,0.00
54.218.212.54,80,80,false,ORD,North America,Chicago,211,0.00
35.93.4.236,2052,80,false,ORD,North America,Chicago,210,0.00
34.220.250.108,2096,80,false,ORD,North America,Chicago,217,0.00
34.222.138.56,2083,80,false,ORD,North America,Chicago,204,0.00
34.222.138.56,2052,80,false,ORD,North America,Chicago,205,0.00
34.221.59.217,2083,80,false,ORD,North America,Chicago,217,0.00
54.218.212.54,2086,80,false,ORD,North America,Chicago,222,0.00
34.221.59.217,8880,80,false,ORD,North America,Chicago,221,0.00
54.218.212.54,8443,80,false,ORD,North America,Chicago,213,0.00
54.218.212.54,2095,80,false,ORD,North America,Chicago,211,0.00
54.218.212.54,2082,80,false,ORD,North America,Chicago,224,0.00
54.218.212.54,2052,80,false,ORD,North America,Chicago,225,0.00
18.169.191.155,2096,80,false,ORD,North America,Chicago,243,0.00
18.169.191.155,8443,80,false,ORD,North America,Chicago,244,0.00
18.169.191.155,2082,80,false,ORD,North America,Chicago,321,0.00
18.169.191.155,2083,80,false,ORD,North America,Chicago,253,0.00
18.169.191.155,2052,80,false,ORD,North America,Chicago,252,0.00
18.169.191.155,2086,80,false,ORD,North America,Chicago,253,0.00
18.169.191.155,2053,80,false,ORD,North America,Chicago,319,0.00
18.169.191.155,2087,80,false,ORD,North America,Chicago,252,0.00
18.169.191.155,80,80,false,ORD,North America,Chicago,253,0.00
18.169.191.155,8880,80,false,ORD,North America,Chicago,244,0.00
18.169.191.155,8080,80,false,ORD,North America,Chicago,244,0.00
3.110.153.157,2096,80,false,ORD,North America,Chicago,55,0.00
3.109.122.165,2096,80,false,ORD,North America,Chicago,62,0.00
3.110.43.175,2087,80,false,ORD,North America,Chicago,55,0.00
35.93.190.39,2096,80,false,ORD,North America,Chicago,212,0.00
35.94.148.189,443,80,false,ORD,North America,Chicago,211,0.00
35.89.245.216,2087,80,false,ORD,North America,Chicago,214,0.00
35.89.245.216,2095,80,false,ORD,North America,Chicago,211,0.00
35.94.148.189,2086,80,false,ORD,North America,Chicago,211,0.00
52.25.147.154,8880,80,false,ORD,North America,Chicago,211,0.00
52.25.147.154,443,80,false,ORD,North America,Chicago,227,0.00
18.134.6.175,443,80,false,ORD,North America,Chicago,251,0.00
3.8.164.47,8880,80,false,ORD,North America,Chicago,253,0.00
35.178.231.166,2083,80,false,ORD,North America,Chicago,243,0.00
18.135.211.182,80,80,false,ORD,North America,Chicago,327,0.00
3.8.164.47,2087,80,false,ORD,North America,Chicago,253,0.00
35.178.231.166,443,80,false,ORD,North America,Chicago,252,0.00
35.178.231.166,8443,80,false,ORD,North America,Chicago,323,0.00
35.178.231.166,8080,80,false,ORD,North America,Chicago,320,0.00
18.134.6.175,2083,80,false,ORD,North America,Chicago,244,0.00
18.134.6.175,2086,80,false,ORD,North America,Chicago,253,0.00
3.8.164.47,443,80,false,ORD,North America,Chicago,321,0.00
35.178.231.166,2082,80,false,ORD,North America,Chicago,320,0.00
3.8.164.47,2096,80,false,ORD,North America,Chicago,319,0.00
35.178.231.166,80,80,false,ORD,North America,Chicago,319,0.00
35.178.231.166,8880,80,false,ORD,North America,Chicago,252,0.00
35.178.231.166,2052,80,false,ORD,North America,Chicago,251,0.00
35.178.231.166,2096,80,false,ORD,North America,Chicago,243,0.00
3.8.164.47,8080,80,false,ORD,North America,Chicago,244,0.00
35.178.231.166,2095,80,false,ORD,North America,Chicago,318,0.00
3.8.164.47,80,80,false,ORD,North America,Chicago,318,0.00
18.134.13.41,2053,80,false,ORD,North America,Chicago,252,0.00
18.134.13.41,2087,80,false,ORD,North America,Chicago,252,0.00
13.213.206.28,443,443,true,SIN,Asia Pacific,Singapore,3,0.00
52.66.116.40,80,8080,false,BOM,Asia Pacific,Mumbai,59,0.00
13.126.254.121,80,8080,false,BOM,Asia Pacific,Mumbai,63,0.00
13.114.59.37,2052,80,false,NRT,Asia Pacific,Tokyo,68,0.00
13.125.218.78,443,443,true,ICN,Asia Pacific,Seoul,74,0.00
13.209.166.73,80,8080,false,ICN,Asia Pacific,Seoul,74,0.00
13.237.94.188,2086,80,false,SYD,Oceania,Sydney,92,0.00
13.238.235.196,2082,80,false,SYD,Oceania,Sydney,92,0.00
13.236.104.165,2096,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.236.104.165,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2086,80,false,SYD,Oceania,Sydney,93,0.00
13.236.104.165,2095,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2086,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2083,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2095,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2095,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2096,80,false,SYD,Oceania,Sydney,93,0.00
13.236.104.165,2086,80,false,SYD,Oceania,Sydney,93,0.00
13.54.173.154,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.54.173.154,2096,80,false,SYD,Oceania,Sydney,93,0.00
13.55.59.224,2095,80,false,SYD,Oceania,Sydney,93,0.00
13.55.59.224,2096,80,false,SYD,Oceania,Sydney,93,0.00
13.54.173.154,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.54.173.154,2082,80,false,SYD,Oceania,Sydney,93,0.00
